Z,A,half_life_s,status
104,253,0.013000000000000001,measured
104,254,2.2899999999999998e-05,measured
104,255,1.63,measured
105,255,0.054,measured
104,256,0.0066,measured
105,256,1.7,measured
104,257,5.0,measured
105,257,2.3,measured
104,258,0.0125,measured
105,258,2.17,measured
106,258,0.0027,measured
104,259,2.63,measured
105,259,0.51,measured
106,259,0.402,measured
104,260,0.021,measured
105,260,1.52,measured
106,260,0.00495,measured
107,260,0.041,measured
104,261,2.1,measured
105,261,4.7,measured
106,261,0.183,measured
107,261,0.0128,measured
104,262,0.25,measured
105,262,34.0,measured
106,262,0.0103,measured
107,262,0.084,measured
104,263,660.0,measured
105,263,29.0,measured
106,263,0.9400000000000001,measured
107,263,0.2,systematic
108,263,0.0009000000000000001,measured
104,264,3600.0,systematic
105,264,180.0,systematic
106,264,0.078,measured
107,264,1.07,measured
108,264,0.7,measured
104,265,96.0,measured
105,265,900.0,systematic
106,265,9.2,measured
107,265,1.19,measured
108,265,0.00196,measured
109,265,0.002,systematic
104,266,14400.0,systematic
105,266,4800.0,measured
106,266,0.39,measured
107,266,10.6,measured
108,266,0.003,measured
109,266,0.002,measured
104,267,9000.0,measured
105,267,7200.0,measured
106,267,108.0,measured
107,267,22.0,measured
108,267,0.055,measured
109,267,0.01,systematic
110,267,9.999999999999999e-06,measured
104,268,3600.0,systematic
105,268,104400.0,measured
106,268,120.0,systematic
107,268,190.0,systematic
108,268,1.4,measured
109,268,0.023,measured
110,268,9.999999999999999e-05,systematic
105,269,10800.0,systematic
106,269,300.0,measured
107,269,60.0,systematic
108,269,15.0,measured
109,269,0.1,systematic
110,269,0.00022999999999999998,measured
105,270,6120.0,measured
106,270,180.0,systematic
107,270,228.0,measured
108,270,9.0,measured
109,270,0.8,measured
110,270,0.000205,measured
106,271,132.0,measured
107,271,2.9,measured
108,271,10.0,systematic
109,271,0.4,systematic
110,271,0.14400000000000002,measured
106,272,240.0,systematic
107,272,11.3,measured
108,272,10.0,systematic
109,272,0.4,systematic
110,272,0.2,systematic
111,272,0.004200000000000001,measured
106,273,300.0,systematic
107,273,60.0,systematic
108,273,1.06,measured
109,273,0.8,systematic
110,273,0.00023999999999999998,measured
111,273,0.002,systematic
107,274,57.0,measured
108,274,0.5,systematic
109,274,0.85,measured
110,274,0.01,systematic
111,274,0.02,measured
107,275,60.0,systematic
108,275,0.28,measured
109,275,0.031,measured
110,275,0.01,systematic
111,275,0.005,systematic
107,276,60.0,systematic
108,276,0.1,systematic
109,276,0.7000000000000001,measured
110,276,0.016,systematic
111,276,0.01,systematic
112,276,9.999999999999999e-05,systematic
107,277,10.0,systematic
108,277,0.012,measured
109,277,9.0,measured
110,277,0.006,measured
111,277,0.004,systematic
112,277,0.00079,measured
107,278,2.0,systematic
108,278,2.0,systematic
109,278,6.0,measured
110,278,0.27,systematic
111,278,0.008,measured
112,278,0.002,systematic
113,278,0.0023,measured
108,279,1.0,systematic
109,279,20.0,systematic
110,279,0.21,measured
111,279,0.17,measured
112,279,5.9999999999999995e-05,systematic
113,279,0.001,systematic
108,280,0.1,systematic
109,280,10.0,systematic
110,280,0.025,measured
111,280,4.3,measured
112,280,0.005,systematic
113,280,0.01,systematic
109,281,1.0,systematic
110,281,14.0,measured
111,281,19.0,measured
112,281,0.18,measured
113,281,0.1,systematic
109,282,0.1,systematic
110,282,252.0,measured
111,282,130.0,measured
112,282,0.0011,measured
113,282,0.14,measured
110,283,60.0,systematic
111,283,120.0,systematic
112,283,4.7,measured
113,283,0.14,measured
110,284,60.0,systematic
111,284,60.0,systematic
112,284,0.10200000000000001,measured
113,284,0.97,measured
114,284,0.0031000000000000003,measured
111,285,30.0,systematic
112,285,30.0,measured
113,285,4.6,measured
114,285,0.21,measured
111,286,10.0,systematic
112,286,30.0,measured
113,286,12.0,measured
114,286,0.13,measured
112,287,30.0,systematic
113,287,20.0,systematic
114,287,0.51,measured
115,287,0.06,measured
112,288,10.0,systematic
113,288,20.0,systematic
114,288,0.653,measured
115,288,0.177,measured
113,289,30.0,systematic
114,289,2.1,measured
115,289,0.41000000000000003,measured
116,289,0.016,systematic
113,290,8.0,measured
114,290,80.0,measured
115,290,0.84,measured
116,290,0.009000000000000001,measured
114,291,10.0,systematic
115,291,1.0,systematic
116,291,0.026000000000000002,measured
117,291,0.002,systematic
115,292,5.0,systematic
116,292,0.016,measured
117,292,0.01,systematic
116,293,0.07,measured
117,293,0.025,measured
118,293,0.001,systematic
117,294,0.07,measured
118,294,0.0007,measured
118,295,0.68,measured
